#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,Unnamed: 12,Unnamed: 13
19,Claim,2359906270,11,someone shared with me that we only see the same side of the moon,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0,15.0,9.0
20,Claim,7146819625,34,someone shared with me that the moon was once part of the earth,not verified,active,249935.0,20437.0,2240.0,212.0,70.0,15.0,9.0
21,Claim,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,550259.0,30528.0,6704.0,258.0,88.0,15.0,9.0
22,Claim,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,510989.0,162612.0,26745.0,2507.0,1283.0,15.0,9.0
23,Claim,7986031283,52,"""someone shared with me that about once a year"," an asteroid the size of a car enters earthвЂ™s atmosphere""",not verified,9935.5,60096.0,34245.0,11345.0,219.0,77.0,9.0
24,Claim,5733649579,54,"""someone shared with me that through the seasons"," a reindeerвЂ™s eyes will change color""",not verified,9935.5,750942.0,136252.0,27119.0,2637.0,1206.0,9.0
25,Claim,2736327047,39,someone shared with me that elephants will console each other during stressful situations,not verified,active,353722.0,39844.0,10399.0,181.0,54.0,15.0,9.0
26,Claim,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,506061.0,288150.0,39351.0,2405.0,1134.0,15.0,9.0
27,Claim,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0,15.0,9.0
28,Claim,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,812056.0,329068.0,3515.0,5200.0,1108.0,15.0,9.0
29,Claim,6301836558,21,someone shared with me that people donвЂ™t sneeze in their sleep,not verified,active,677855.0,332569.0,97961.0,5531.0,2386.0,15.0,9.0
30,Claim,6854087993,48,"""someone shared with me that at birth"," baby pandas are smaller than mice""",not verified,9935.5,74323.0,20940.0,3678.0,274.0,63.0,9.0
31,Claim,7568304116,55,someone shared with me that the microwave oven was an accidental invention,not verified,active,573518.0,324003.0,125931.0,4737.0,2918.0,15.0,9.0
32,Claim,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,376637.0,226700.0,69329.0,2060.0,278.0,15.0,9.0
33,Claim,8304906458,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,not verified,active,781955.0,407367.0,65029.0,4274.0,2240.0,15.0,9.0
34,Claim,7723647550,33,someone shared with me that the red-billed quelea is the most common bird on earth,not verified,active,822795.0,390001.0,125607.0,4012.0,2055.0,15.0,9.0
35,Claim,1260034177,10,"""someone shared with me that in japan"," its considered good luck when a sumo wrestler makes your baby cry""",not verified,9935.5,418750.0,133645.0,27821.0,2387.0,206.0,9.0
36,Claim,5407291277,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0,15.0,9.0
37,Claim,6844920875,29,someone shared with me that humans have jumped further than horses in the olympics,not verified,active,924262.0,465230.0,37874.0,8124.0,635.0,15.0,9.0
38,Claim,9171709060,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0,15.0,9.0
39,Claim,2310167046,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,active,879368.0,572608.0,153090.0,5639.0,2542.0,15.0,9.0
40,Claim,4040057402,20,someone shared with me that the eye of an ostrich is bigger than its brain,not verified,active,135682.0,50881.0,7713.0,944.0,324.0,15.0,9.0
41,Claim,7334026327,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0,15.0,9.0
42,Claim,5280794672,34,someone shared with me that buttermilk does not contain any butter,not verified,active,903941.0,409234.0,32446.0,8390.0,1390.0,15.0,9.0
43,Claim,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,not verified,active,704320.0,161850.0,19294.0,3077.0,566.0,15.0,9.0
44,Claim,1421558858,5,someone shared with me that bottled water has an expiration date,not verified,under review,609453.0,262718.0,80347.0,826.0,99.0,15.0,9.0
45,Claim,4477338445,31,someone shared with me that driving south from detroit will lead to canada,not verified,active,790372.0,24067.0,4167.0,434.0,236.0,15.0,9.0
46,Claim,4479658983,34,someone shared with me that sea otters are born unable to swim,not verified,under review,750369.0,271101.0,65378.0,1482.0,426.0,15.0,9.0
47,Claim,9398305380,17,someone shared with me that apple seeds contain cyanide,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0,15.0,9.0
48,Claim,2584492620,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,853104.0,45589.0,16274.0,758.0,163.0,15.0,9.0
49,Claim,6528249616,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,not verified,active,636117.0,360722.0,12659.0,105.0,65.0,15.0,9.0
50,Claim,6798355648,36,someone shared with me that the largest living thing on earth is a tree,not verified,active,658349.0,231224.0,89272.0,5131.0,1426.0,15.0,9.0
51,Claim,9161593537,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,not verified,active,472376.0,210080.0,37155.0,4600.0,2697.0,15.0,9.0
52,Claim,1291361813,53,someone shared with me that the town of calama in chile has never experienced rain,not verified,active,984793.0,453657.0,15329.0,521.0,30.0,15.0,9.0
53,Claim,6346301856,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,not verified,active,301749.0,27047.0,1544.0,230.0,18.0,15.0,9.0
54,Claim,8355089614,54,a friend shared with a friend that the largest rock on earth is in australia,not verified,active,971357.0,111164.0,13178.0,2338.0,779.0,15.0,9.0
55,Claim,1767010474,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,not verified,active,302525.0,23738.0,673.0,314.0,118.0,15.0,9.0
56,Claim,6315458270,39,a friend shared with a friend that windshield wipers were invented in 1905,not verified,active,578064.0,269616.0,66922.0,6075.0,3321.0,15.0,9.0
57,Claim,5775227146,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0,15.0,9.0
58,Claim,7667994370,12,a friend shared with a friend that an average user spends 40% of their day on the internet,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0,15.0,9.0
59,Claim,3024206043,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,not verified,active,265598.0,59672.0,4952.0,815.0,400.0,15.0,9.0
60,Claim,2931436974,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,not verified,active,307222.0,13123.0,4689.0,130.0,63.0,15.0,9.0
61,Claim,8774049123,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,not verified,active,962886.0,174445.0,10848.0,619.0,162.0,15.0,9.0
62,Claim,1712882974,32,"""a friend shared with a friend that starting in 1990"," american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years""",not verified,9935.5,29060.0,1219.0,171.0,3.0,1.0,9.0
63,Claim,8610989068,56,a friend shared with a friend that a dogвЂ™s sense of smell is much more powerful than a human's,not verified,active,952372.0,10191.0,114.0,223.0,55.0,15.0,9.0
64,Claim,8244180015,37,"""a friend shared with a friend that a common garden snail has over 12","000 teeth""",not verified,9935.5,986657.0,537842.0,199478.0,4721.0,2891.0,9.0
65,Claim,7043718296,44,a friend shared with a friend that koalas sleep up to 22 hours per day,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0,15.0,9.0
66,Claim,2833181639,30,a friend shared with a friend that some sharks can glow in the dark,not verified,under review,773587.0,279571.0,16917.0,3617.0,1331.0,15.0,9.0
67,Claim,8560734678,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturnвЂ™s rings at a speed of 75 mph,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0,15.0,9.0
68,Claim,6496578100,55,a friend shared with a friend that sputnik was the first artificial satellite in space,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0,15.0,9.0
69,Claim,3916624482,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0,15.0,9.0
70,Claim,5342027952,5,a friend shared with a friend that a day on mars is about the same length as on earth,not verified,under review,988418.0,344391.0,78618.0,239.0,22.0,15.0,9.0
71,Claim,7417954522,27,a friend shared with a friend that thereвЂ™s a planet made of diamonds two times the size of earth,not verified,active,345192.0,63925.0,7783.0,99.0,57.0,15.0,9.0
72,Claim,9903088754,43,a friend shared with a friend that there is a world championship for throwing mobile phones,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0,15.0,9.0
73,Claim,5423860831,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0,15.0,9.0
74,Claim,3679640007,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,active,929654.0,616498.0,97225.0,588.0,176.0,15.0,9.0
75,Claim,5979401954,7,a friend shared with a friend that humans canвЂ™t taste food without saliva,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0,15.0,9.0
76,Claim,2473723793,17,a friend shared with a friend that the eiffel tower leans away from the sun,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0,15.0,9.0
77,Claim,2342638585,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,verified,active,677288.0,214708.0,66446.0,2167.0,1428.0,15.0,9.0
78,Claim,7486721746,8,a friend shared with a friend that the french scrabble world champion winner doesnвЂ™t speak french,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0,15.0,9.0
79,Claim,3780164260,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,under review,857998.0,468810.0,183219.0,5830.0,2431.0,15.0,9.0
80,Claim,8352128964,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,not verified,active,589041.0,144226.0,51973.0,3362.0,1597.0,15.0,9.0
81,Claim,1925338598,31,a friend shared with a friend that pineapples are named after pinecones,not verified,active,604898.0,288298.0,95777.0,3225.0,899.0,15.0,9.0
82,Claim,3791068995,20,a friend shared with a friend that losing weight alters brain activity,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0,15.0,9.0
83,Claim,6404484639,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,not verified,under review,680252.0,177711.0,1946.0,3223.0,9.0,15.0,9.0
84,Claim,1403965706,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0,15.0,9.0
85,Claim,2675430150,28,a friend shared with a friend that mice typically only live for 6 months in the wild,not verified,active,5279.0,2670.0,16.0,12.0,7.0,15.0,9.0
86,Claim,8975962413,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,not verified,active,364943.0,212815.0,6149.0,906.0,4.0,15.0,9.0
87,Claim,4966288323,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,not verified,banned,865320.0,139937.0,49470.0,2574.0,1504.0,15.0,9.0
88,Claim,4219642346,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,not verified,active,874793.0,306997.0,29763.0,5262.0,2006.0,15.0,9.0
89,Claim,9716988521,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,not verified,active,468077.0,194366.0,37758.0,4319.0,131.0,15.0,9.0
90,Claim,5774531836,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,not verified,active,539826.0,132637.0,16501.0,444.0,60.0,15.0,9.0
91,Claim,6837955665,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,not verified,active,309589.0,170284.0,54865.0,2735.0,754.0,15.0,9.0
92,Claim,5424962156,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0,15.0,9.0
93,Claim,8176623100,26,"""a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd"," worth over $300 billion usd today""",not verified,9935.5,879769.0,107260.0,27447.0,2288.0,1257.0,9.0
94,Claim,5559711920,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,not verified,banned,436875.0,260329.0,41775.0,4663.0,1947.0,15.0,9.0
95,Claim,7401659041,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,not verified,active,501354.0,248235.0,64155.0,3883.0,2110.0,15.0,9.0
96,Claim,6570169707,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0,15.0,9.0
97,Claim,1386456170,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,not verified,banned,200060.0,106959.0,32426.0,2564.0,1500.0,15.0,9.0
98,Claim,4415434682,16,a friend mentioned someone discovered that the japanese word вЂkaraokeвЂ™ comes from a phrase meaning вЂ™empty orchestraвЂ™,not verified,under review,423164.0,186423.0,55246.0,2404.0,1430.0,15.0,9.0
99,Claim,3490110525,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0,15.0,9.0
100,Claim,8089681692,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,not verified,active,195432.0,27339.0,3483.0,433.0,200.0,15.0,9.0
101,Claim,8266347544,9,a friend mentioned someone discovered that the average user checks their mobile phone around 150 times each day,not verified,active,90931.0,51974.0,3568.0,970.0,156.0,15.0,9.0
102,Claim,9794898551,43,a friend mentioned someone discovered that 4 of the top 10 highest paid atheletes in the world are players in the american national basketball assocation (nba),not verified,banned,920337.0,567807.0,214550.0,4524.0,2850.0,15.0,9.0
103,Claim,6445697344,33,a friend mentioned someone discovered that the first gloves used in american sport baseball were fingerless,not verified,active,995247.0,505255.0,156842.0,9099.0,3081.0,15.0,9.0
104,Claim,3817438444,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,not verified,banned,956314.0,572469.0,154525.0,2902.0,298.0,15.0,9.0
105,Claim,9952827704,53,a friend mentioned someone discovered that the busiest airport in the world is in the united states,not verified,active,328659.0,165642.0,46318.0,337.0,135.0,15.0,9.0
106,Claim,7687467484,49,"""a friend mentioned someone discovered that london"," england has the world's oldest subway system""",verified,9935.5,631075.0,284311.0,97442.0,1163.0,354.0,9.0
107,Claim,7222903379,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,not verified,under review,228358.0,19295.0,2332.0,270.0,35.0,15.0,9.0
108,Claim,5923572459,51,a friend mentioned someone discovered that koalas sleep up to 22 hours per day,not verified,active,276059.0,97689.0,38967.0,2376.0,507.0,15.0,9.0
109,Claim,2944539454,53,a friend mentioned someone discovered that the volcano olympus mons on mars is over 3 times taller than mount everest,not verified,banned,351066.0,58438.0,19119.0,39.0,0.0,15.0,9.0
110,Claim,6645515132,41,a friend mentioned someone discovered that saturn is less dense than water,not verified,under review,530697.0,30862.0,8161.0,278.0,166.0,15.0,9.0
111,Claim,3984935056,49,a friend mentioned someone discovered that sound actually travels in space,not verified,active,2883.0,1242.0,348.0,11.0,2.0,15.0,9.0
112,Claim,3573642153,56,a friend mentioned someone discovered that a single day on venus takes 243 earth days,not verified,active,426268.0,155933.0,50782.0,3414.0,1935.0,15.0,9.0
113,Claim,2507142098,11,a friend mentioned someone discovered that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,under review,660561.0,322446.0,120347.0,5519.0,3449.0,15.0,9.0
114,Claim,4025589908,40,a friend mentioned someone discovered that the scottish were the first people to fry chicken,not verified,active,150706.0,72838.0,9413.0,454.0,1.0,15.0,9.0
115,Claim,7041087617,47,a friend mentioned someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,active,965051.0,567073.0,67201.0,3940.0,2550.0,15.0,9.0
116,Claim,7373606171,24,a friend mentioned someone discovered that j is the only letter that doesnвЂ™t appear on the periodic table of elements,not verified,under review,311719.0,71173.0,6362.0,496.0,163.0,15.0,9.0
117,Claim,1256736154,50,a friend mentioned someone discovered that the tallest tower of cupcakes ever made was over 35 feet,not verified,active,56142.0,27239.0,1540.0,390.0,172.0,15.0,9.0
118,Claim,2115386652,48,a friend mentioned someone discovered that bees can fly higher than mount everest,verified,active,915553.0,272536.0,78299.0,7.0,3.0,15.0,9.0
119,Claim,9082277974,20,a friend mentioned someone discovered that cold water is just as cleansing as hot water,not verified,active,593281.0,332025.0,103892.0,7769.0,2486.0,15.0,9.0
120,Claim,9850813380,59,a friend mentioned someone discovered that more people speak english as their second language than those who use it as their primary language,not verified,banned,169697.0,12958.0,589.0,314.0,120.0,15.0,9.0
121,Claim,6559389686,53,a friend mentioned someone discovered that triskaidekaphobia is the fear of the number 13,not verified,active,812513.0,523168.0,20023.0,7565.0,2809.0,15.0,9.0
122,Claim,5597300051,34,a friend mentioned someone discovered that your fingernails on your dominant hand grow faster,not verified,active,743385.0,414665.0,52389.0,1427.0,107.0,15.0,9.0
123,Claim,5066246380,58,a friend mentioned someone discovered that apple seeds contain cyanide,not verified,active,726835.0,293637.0,31598.0,3868.0,1854.0,15.0,9.0
124,Claim,9463149535,43,a friend mentioned someone discovered that frigate birds can sleep while flying,not verified,active,950500.0,146636.0,25913.0,1956.0,956.0,15.0,9.0
125,Claim,6028042493,38,a friend reported someone discovered that humans will live on mars by 2035,not verified,banned,25771.0,4775.0,1771.0,77.0,26.0,15.0,9.0
126,Claim,2102557699,35,a friend reported someone discovered that we will all fly with individual jetpacks by 2032,not verified,banned,660194.0,349323.0,30579.0,7102.0,1335.0,15.0,9.0
127,Claim,2818218055,50,a friend reported someone discovered that earth days are getting longer over time due to orbital expansion,not verified,active,848448.0,207258.0,56105.0,3272.0,275.0,15.0,9.0
128,Claim,9826381124,18,a friend reported someone discovered that seventy percent of small businesses are owned and operated by a single person.,not verified,banned,56312.0,36854.0,6211.0,512.0,254.0,15.0,9.0
129,Claim,7164433838,10,a friend reported someone discovered that more businesses will be owned by women than men by 2045,not verified,under review,263806.0,8528.0,2373.0,27.0,10.0,15.0,9.0
130,Claim,1474103260,19,a friend reported someone discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,active,951464.0,365819.0,101090.0,752.0,387.0,15.0,9.0
131,Claim,3188060641,40,a friend reported someone discovered that 1 billion cars are currently in use around the world,not verified,active,907591.0,291689.0,65458.0,1736.0,853.0,15.0,9.0
132,Claim,2312282712,40,a friend reported someone discovered that it would take less than a month to get to the moon by car at 60mph,not verified,active,285004.0,33069.0,11653.0,572.0,71.0,15.0,9.0
133,Claim,8045719558,40,a friend reported someone discovered that the car radio was first introduced in 1922,not verified,active,611518.0,43431.0,8890.0,196.0,45.0,15.0,9.0
134,Claim,6287699512,18,a friend reported someone discovered that the harmonica is the best selling musical instrument,not verified,banned,227262.0,34194.0,565.0,456.0,74.0,15.0,9.0
135,Claim,7194264172,59,a friend reported someone discovered that 90% of the worldвЂ™s data was generated after 2019,not verified,active,216296.0,92543.0,22041.0,270.0,70.0,15.0,9.0
136,Claim,9514639653,34,a friend reported someone discovered that over 60% of the world's population has access to the internet,not verified,active,714428.0,445887.0,67205.0,5983.0,2559.0,15.0,9.0
137,Claim,2868422477,22,a friend reported someone discovered that singapore has the fastest internet connectivity in the world.,not verified,active,915340.0,459193.0,53596.0,7729.0,1440.0,15.0,9.0
138,Claim,7413726543,29,a friend reported someone discovered that half of retail purchases are now made through a mobile device,not verified,active,830574.0,424374.0,150314.0,7366.0,2892.0,15.0,9.0
139,Claim,7852597291,48,a friend reported someone discovered that the world generates 2.5 quintillion bytes of data every day,not verified,active,42647.0,17703.0,5027.0,375.0,155.0,15.0,9.0
140,Claim,2516528160,60,a friend reported someone discovered that 1 in 3 people have never used the internet,not verified,active,697308.0,190336.0,65540.0,3019.0,1572.0,15.0,9.0
141,Claim,6296788623,16,"""a friend reported someone discovered that shanghai"," china has the world's longest subway system""",verified,9935.5,775229.0,42657.0,1636.0,835.0,247.0,9.0
142,Claim,7640548534,26,a friend reported someone discovered that a dogвЂ™s sense of smell is much more powerful than a human's,not verified,active,242727.0,4464.0,620.0,62.0,26.0,15.0,9.0
143,Claim,5715784279,12,a friend reported someone discovered that dragonflies can see in all directions at the same time,not verified,active,64994.0,37401.0,4768.0,246.0,100.0,15.0,9.0
144,Claim,2099433738,15,a friend reported someone discovered that koalas sleep up to 22 hours per day,not verified,active,338032.0,174028.0,58508.0,3167.0,834.0,15.0,9.0
145,Claim,5893807380,26,a friend reported someone discovered that it snows metal and rains acid on venus,not verified,active,405315.0,241311.0,12754.0,5667.0,1200.0,15.0,9.0
146,Claim,6710546869,28,a friend reported someone discovered that the sun takes over one earth month to make a full rotation,not verified,active,443793.0,62808.0,18380.0,671.0,251.0,15.0,9.0
147,Claim,7688135507,23,a friend reported someone discovered that it takes an average of 364 licks to get to the center of a lollipop,not verified,active,754822.0,441008.0,28597.0,7603.0,4094.0,15.0,9.0
148,Claim,4617688188,20,a friend reported someone discovered that there is a world championship for throwing mobile phones,not verified,active,612397.0,69987.0,27953.0,910.0,606.0,15.0,9.0
149,Claim,2934930612,50,a friend reported someone discovered that take out restaurants have been found in the remains of pompeii,not verified,active,998792.0,151348.0,48830.0,2843.0,1301.0,15.0,9.0
150,Claim,7850604311,51,a friend reported someone discovered that captive ravens can speak better than parrots,not verified,banned,765069.0,301210.0,66991.0,278.0,156.0,15.0,9.0
151,Claim,8919589653,54,a friend reported someone discovered that the scottish were the first people to fry chicken,not verified,active,112830.0,38543.0,526.0,107.0,3.0,15.0,9.0
152,Claim,9072252537,23,a friend reported someone discovered that elephants will console each other during stressful situations,not verified,active,762699.0,352035.0,26264.0,7098.0,458.0,15.0,9.0
153,Claim,2073671797,24,a friend reported someone discovered that avocados never ripen while they are still attached to the tree,not verified,active,645348.0,25962.0,6713.0,211.0,44.0,15.0,9.0
154,Claim,8269228783,16,a friend reported someone discovered that the brain is the fattiest organ in the body,not verified,active,379005.0,204577.0,49432.0,2862.0,1858.0,15.0,9.0
155,Claim,3576462449,15,a friend reported someone discovered that humans canвЂ™t taste food without saliva,not verified,active,894337.0,129925.0,3678.0,1010.0,304.0,15.0,9.0
156,Claim,5054812105,58,a friend reported someone discovered that the netherlands is home to the population of tallest humans on earth,not verified,active,712536.0,216805.0,47945.0,4486.0,1734.0,15.0,9.0
157,Claim,2731216926,9,a friend reported someone discovered that new zealanders have more pets per household than any other country,not verified,under review,148492.0,70227.0,14962.0,1264.0,841.0,15.0,9.0
158,Claim,8587085648,33,a friend reported someone discovered that q' is the only letter that doesnвЂ™t appear in any u.s. state name,not verified,active,433310.0,102440.0,34276.0,1753.0,1030.0,15.0,9.0
159,Claim,8080736770,50,"""a friend reported someone discovered that blue whales eat 500","000 calories in 1 mouthful on average""",not verified,9935.5,649471.0,317456.0,42349.0,1072.0,46.0,9.0
160,Claim,3424864755,5,a friend reported someone discovered that humans have jumped further than horses in the olympics,not verified,under review,40208.0,8018.0,1029.0,16.0,0.0,15.0,9.0
161,Claim,2188053512,38,a friend reported someone discovered that the first commercial airplane flight lasted 23 minutes,not verified,active,346555.0,70156.0,12343.0,605.0,94.0,15.0,9.0
162,Claim,3210888500,20,a friend reported someone discovered that 170-year-old champagne was found under the baltic sea,not verified,active,812447.0,343371.0,79962.0,3608.0,528.0,15.0,9.0
163,Claim,6425710834,6,a friend reported someone discovered that x-rays canвЂ™t distinguish real diamonds from fake ones,not verified,under review,391812.0,30875.0,1706.0,165.0,76.0,15.0,9.0
164,Claim,9742572710,28,a friend reported someone discovered that the continental tectonic plates move at the same rate that fingernails grow,not verified,banned,468758.0,78841.0,12464.0,1271.0,681.0,15.0,9.0
165,Claim,5127402473,35,a friend reported someone discovered that driving south from detroit will lead to canada,not verified,active,642888.0,21908.0,7009.0,412.0,122.0,15.0,9.0
166,Claim,2042520713,35,a friend reported someone discovered that more people speak english as their second language than those who use it as their primary language,not verified,banned,633270.0,6077.0,1018.0,101.0,60.0,15.0,9.0
167,Claim,9561409967,17,a friend reported someone discovered that triskaidekaphobia is the fear of the number 13,not verified,banned,734203.0,296340.0,112802.0,6795.0,2745.0,15.0,9.0
168,Claim,8435751140,44,a friend reported someone discovered that the opposite sides of dice will always equal 7,not verified,active,939399.0,144236.0,31119.0,906.0,104.0,15.0,9.0
169,Claim,2990741745,8,a friend reported someone discovered that bananas get their curved shape by growing towards the sun,not verified,active,494881.0,32805.0,8934.0,534.0,198.0,15.0,9.0
170,Claim,6722335625,27,a friend reported someone discovered that frigate birds can sleep while flying,verified,active,886215.0,521651.0,114330.0,10943.0,4219.0,15.0,9.0
